model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score,seed,scenario
boosting,all_test,5640,150,0.026595744680851064,0.15820981462781672,0.7426982392228294,0.12808988764044943,0.38,0.07890070921985816,0.16071428571428573,0.3,0.5158613403763619,0.02611312419213859,44,no_excitation
boosting,pre_shift,957,15,0.01567398119122257,0.7486480350162675,0.986624203821656,0.25925925925925924,0.9333333333333333,0.05642633228840126,0.2641509433962264,0.9333333333333333,0.9641203404299351,0.006696937289121712,44,no_excitation
boosting,post_shift,4683,135,0.028827674567584883,0.10081069292162145,0.7067200886022346,0.10997442455242967,0.31851851851851853,0.08349348708093103,0.13656387665198239,0.22962962962962963,0.31793918996093723,0.030080942015368824,44,no_excitation
boosting_static,all_test,5640,150,0.026595744680851064,0.13359239864661412,0.6916387370977535,0.13622291021671826,0.29333333333333333,0.05726950354609929,0.15714285714285714,0.29333333333333333,0.41710663585341695,0.02550840402722403,44,no_excitation
boosting_static,pre_shift,957,15,0.01567398119122257,0.569595664279094,0.9563340410474168,0.20408163265306123,0.6666666666666666,0.051201671891327065,0.21153846153846154,0.7333333333333333,0.7082934526735132,0.009835580288213516,44,no_excitation
boosting_static,post_shift,4683,135,0.028827674567584883,0.09576980521945597,0.6575833089025701,0.12408759124087591,0.2518518518518518,0.058509502455690796,0.14473684210526316,0.24444444444444444,0.28853739139704704,0.02871124244666308,44,no_excitation
boosting_no_network,all_test,5640,150,0.026595744680851064,0.1790165667367844,0.718445051608986,0.16285714285714287,0.38,0.06205673758865248,0.175,0.32666666666666666,0.480175635523275,0.02432968414074363,44,no_excitation
boosting_no_network,pre_shift,957,15,0.01567398119122257,0.675775446721052,0.9803963198867658,0.3,0.8,0.04179728317659352,0.25,0.8666666666666667,0.918591716894741,0.008049173008118206,44,no_excitation
boosting_no_network,post_shift,4683,135,0.028827674567584883,0.12713107413866334,0.6845320694485162,0.14516129032258066,0.3333333333333333,0.0661968823403801,0.15789473684210525,0.26666666666666666,0.2865994806856168,0.027656707235751646,44,no_excitation
isolation_forest,all_test,5640,150,0.026595744680851064,0.15974802223222395,0.7985440194292653,0.11352253756260434,0.4533333333333333,0.10620567375886525,0.16785714285714284,0.31333333333333335,0.3668801584681413,,44,no_excitation
