scenario,model,period,metric,n_seeds,mean,standard_error,ci95_low,ci95_high
no_shift,behaviour_rule,post_shift,precision_at_daily_budget,5,0.2570538625324373,0.04866294124789571,0.12194387750018942,0.39216384756468514
no_shift,behaviour_rule,post_shift,recall_at_daily_budget,5,0.65088230609201,0.025924524110730544,0.57890428802019,0.7228603241638301
no_shift,behaviour_rule,pre_shift,average_precision,5,0.5927086928956766,0.07479823125219526,0.38503550985806645,0.8003818759332868
no_shift,behaviour_rule,pre_shift,precision_at_daily_budget,5,0.3074277574277574,0.05346353148079575,0.1589891971413139,0.45586631771420094
no_shift,behaviour_rule,pre_shift,recall_at_daily_budget,5,0.7289028213166144,0.05544801498288998,0.5749544515244356,0.8828511911087933
no_shift,boosting,all_test,average_precision,5,0.434959708558498,0.06359002606009577,0.258405491964545,0.6115139251524511
no_shift,boosting,all_test,precision_at_daily_budget,5,0.24642857142857144,0.04212166537398006,0.12948007977820514,0.36337706307893775
no_shift,boosting,all_test,recall_at_daily_budget,5,0.6123228946040709,0.03496592571876431,0.5152419212934981,0.7094038679146436
no_shift,boosting,post_shift,average_precision,5,0.40646470981192967,0.07705325234485302,0.1925305844994921,0.6203988351243672
no_shift,boosting,post_shift,precision_at_daily_budget,5,0.23493677333903187,0.05166517391052752,0.09149125412595499,0.37838229255210876
no_shift,boosting,post_shift,recall_at_daily_budget,5,0.5892079934115334,0.04096819863180411,0.47546203885148997,0.7029539479715768
